agent,agent_logo,price,postcode,city
CC Gray Estates,https://st.zoocdn.com/zoopla_static_agent_logo_(524233).png,"£350,000","The Woodlands, London SE19",London
Bairstow Eves - Romford Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(640056).png,"£450,000","Pretoria Road, Romford RM7",Essex
"Purplebricks, Head Office",https://st.zoocdn.com/zoopla_static_agent_logo_(584439).png,"£400,000","Royal Carriage Mews, London SE18",London
"Purplebricks, Head Office",https://st.zoocdn.com/zoopla_static_agent_logo_(584439).png,"£295,000","99 Princess Road, Croydon CR0",London
CC Gray Estates,https://st.zoocdn.com/zoopla_static_agent_logo_(524233).png,"£440,000","Achill Close, London NW9",London
Winkworth - Palmers Green,https://st.zoocdn.com/zoopla_static_agent_logo_(249290).png,"£975,000","St. Georges Road, London N13",London
Ludlow Thompson - Tooting,https://st.zoocdn.com/zoopla_static_agent_logo_(302206).png,"£470,000","Vant Road, London SW17",London
Ludlow Thompson - City / Docklands,https://st.zoocdn.com/zoopla_static_agent_logo_(302206).png,"£350,000","Cleveland Way, London E1",London
Ludlow Thompson - Tooting,https://st.zoocdn.com/zoopla_static_agent_logo_(302206).png,"£315,000","Yelverton Road, London SW11",London
Ludlow Thompson - Canada Water,https://st.zoocdn.com/zoopla_static_agent_logo_(302206).png,"£550,000","Fisher Close, London SE16",London
Chestertons - Canary Wharf,https://st.zoocdn.com/zoopla_static_agent_logo_(253788).png,"£550,000","Ability Place, 37 Millharbour, London E14",London
Chestertons - Camden & Primrose Hill,https://st.zoocdn.com/zoopla_static_agent_logo_(253788).png,"£1,485,000","Ivor Street, London NW1",London
Chestertons - Islington,https://st.zoocdn.com/zoopla_static_agent_logo_(253788).png,"£1,150,000","Packington Street, London N1",London
Chestertons - Islington,https://st.zoocdn.com/zoopla_static_agent_logo_(253788).png,"£2,000,000","Great Percy Street, Finsbury, London WC1X",London
Chestertons - Knightsbridge & Belgravia,https://st.zoocdn.com/zoopla_static_agent_logo_(253788).png,"£2,000,000","Eresby House, Rutland Gate, Knightsbridge SW7",London
Tatlers,https://st.zoocdn.com/zoopla_static_agent_logo_(40927).jpeg,"£1,350,000","Ashley Road, London N19",London
Foxtons - Stratford,https://st.zoocdn.com/zoopla_static_agent_logo_(592983).png,"£305,000","Upton Lane, Forest Gate, London E7",London
Foxtons - St John's Wood,https://st.zoocdn.com/zoopla_static_agent_logo_(592983).png,"£1,450,000","Allitsen Road, St John's Wood, London NW8",London
Foxtons - South Kensington,https://st.zoocdn.com/zoopla_static_agent_logo_(592983).png,"£1,350,000","Lexham Gardens, Kensington, London W8",London
Foxtons - Vauxhall,https://st.zoocdn.com/zoopla_static_agent_logo_(592983).png,"£525,000","Albert Embankment, Waterloo, London SE1",London
Integra Estates,https://st.zoocdn.com/zoopla_static_agent_logo_(734443).png,"£350,000","Avenue Road, London SE20",London
Vantage Residential,https://st.zoocdn.com/zoopla_static_agent_logo_(721957).png,"£795,000","Park Avenue, London NW2",London
Keys & Lee,https://st.zoocdn.com/zoopla_static_agent_logo_(119365).png,"£500,000","Medora Road, Romford RM7",Essex
Keating Estates,https://st.zoocdn.com/zoopla_static_agent_logo_(153574).png,"£740,000","Milton Road, London SE24",London
